CO2,TEMP,HUM,LABEL
659,25.83,39.8,1
656,25.79,39.98,1
655,25.75,39.95,1
654,25.85,40.07,1
644,25.52,40.22,1
639,25.31,40.73,1
643,25.23,40.95,1
646,25.2,41.04,1
648,25.21,41.03,1
648,25.17,41.09,1
649,25.16,41.08,1
651,25.14,41.12,1
649,25.11,41.07,1
648,25.11,41.12,1
647,25.1,41.11,1
648,25.11,41.13,1
651,25.11,41.12,1
655,25.17,40.97,1
651,25.23,40.82,1
648,25.28,40.71,1
666,25.38,40.93,1
716,24.59,40.7,1
571,22.86,43.45,1
445,22.16,44.95,1
445,21.57,45.98,1
453,20.83,47.2,1
436,20.22,48.93,1
439,20.06,49.39,1
437,19.81,50.31,1
435,19.81,50.4,1
430,19.71,50.75,1
432,19.79,50.66,1
435,19.44,50.98,1
428,19.43,51.01,1
419,19.12,51.68,1
413,19.02,51.97,1
417,19.09,52,1
414,18.94,52.14,1
417,18.88,52.09,1
416,18.66,52.59,1
412,18.57,52.75,1
408,18.5,53.29,1
414,18.82,52.94,1
420,19.67,51.19,1
433,20.34,49.69,1
442,20.83,48.34,1
447,21.2,47.57,1
451,21.45,47.01,1
457,21.76,46.3,1
460,22.03,45.84,1
460,22.33,45.17,1
461,22.57,44.87,1
464,22.72,44.55,1
474,22.92,44.2,1
482,23.16,43.79,1
492,23.27,43.61,1
497,23.41,43.32,1
495,23.55,42.91,1
496,23.64,42.8,1
498,23.75,42.56,1
504,23.81,42.48,1
505,23.92,42.22,1
507,23.96,42.13,1
507,24.04,42.02,1
509,24.1,41.9,1
512,24.12,41.85,1
512,24.2,41.72,1
514,24.23,41.7,1
517,24.31,41.53,1
519,24.33,41.58,1
522,24.36,41.5,1
522,24.38,41.52,1
526,24.43,41.38,1
531,24.4,41.5,1
536,24.41,41.5,1
540,24.4,41.58,1
545,24.44,41.48,1
546,24.5,41.33,1
548,24.51,41.38,1
551,24.51,41.45,1
556,24.59,41.33,1
560,24.64,41.27,1
563,24.68,41.22,1
565,24.69,41.12,1
568,24.69,41.19,1
573,24.66,41.19,1
574,24.69,41.19,1
578,24.72,41.21,1
585,24.69,41.31,1
592,24.75,41.22,1
594,24.74,41.25,1
598,24.75,41.16,1
598,24.78,41.12,1
597,24.86,40.98,1
596,24.83,40.94,1
599,24.85,41.03,1
599,24.86,41,1
601,24.93,41,1
600,24.9,40.96,1
598,24.93,40.93,1
611,23.48,48.28,1
607,23.72,46.48,1
610,23.89,46.22,1
613,24,45.99,1
614,24.13,45.74,1
616,24.23,45.45,1
617,24.28,45.36,1
618,24.34,45.25,1
619,24.36,45.17,1
619,24.41,45.13,1
620,24.47,45.14,1
624,24.48,45.08,1
626,24.55,45.02,1
623,24.4,45.5,1
617,24.24,45.81,1
610,24.25,45.74,1
604,24.2,45.87,1
603,24.06,46.25,1
602,24,46.37,1
598,24.17,46.15,1
596,23.54,47.26,1
592,23.48,47.55,1
590,23.44,47.92,1
590,23.3,48.14,1
591,23.17,48.38,1
589,23.06,48.7,1
584,23.06,48.82,1
583,23.03,48.92,1
585,22.9,49.08,1
578,22.9,49.17,1
578,22.95,49.19,1
589,22.85,49.28,1
581,22.89,49.24,1
577,22.71,49.45,1
568,22.69,49.66,1
565,22.71,49.69,1
561,22.75,49.62,1
568,22.76,49.62,1
572,22.9,49.55,1
573,22.76,49.48,1
569,22.79,49.94,1
